"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver",599.0,4.2,857.0
"SAMSUNG Galaxy Book 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Mystic Silver",509.0,4.3,211.0
"HP 11a-na0502sa 11.6"" Chromebook - MediaTek MT8183, 32 GB eMMC, White",149.0,4.3,458.0
"LENOVO Yoga Slim 7i Pro 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Grey",949.0,3.65,9.0
"HP 14s-dq2512na 14"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver",429.0,4.35,147.0
"DELL Inspiron 15 3502 15.6"" Laptop - Intel® Pentium®, 128 GB SSD, Black",279.0,4.25,228.0
"ASUS E210MA 11.6"" Laptop - Intel® Celeron®, 64 GB eMMC, Blue",129.0,4.1,74.0
"ASUS VivoBook M515UA 15.6"" Laptop - AMD Ryzen 5, 256 GB SSD, Silver",429.0,4.35,26.0
"HP 14a-na0510sa 14"" Chromebook - Intel® Pentium® Silver, 128 GB eMMC, White",249.0,3.85,270.0
"LENOVO Yoga 7i 15.6"" 2 in 1 Laptop - Intel® Core™ i7, 1 TB SSD, Slate Grey",999.0,4.5,52.0
"ASUS E410MA 14"" Laptop - Intel® Celeron®, 64 GB eMMC, Blue",169.0,4.1,86.0
"HP 14s-dq2514na 14"" Laptop - Intel® Core i7, 512 GB SSD, Silver",549.0,4.2,31.0
"HP Pavilion x360 14"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver",899.0,4.4,92.0
"HP Pavilion 14-dv0607na 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, White & Rose Gold",389.0,4.5,177.0
"LENOVO IdeaPad 1i 14"" Laptop - Intel® Celeron™, 64 GB eMMC, Grey",139.0,4.35,207.0
"HP Pavilion 14-dv0609sa 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Gold",389.0,4.45,33.0
"HP Pavilion 14-dv0598sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, White & Rose Gold",449.0,4.6,151.0
"DELL XPS 13 9305 13.3"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver",849.0,4.45,31.0
"HP ENVY 17-ch0500sa 17.3"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver",1149.0,4.55,177.0
"HP x360 14c-cc0505sa 14"" 2 in 1 Chromebook - Intel® Core™ i5, 256 GB SSD, Silver",599.0,4.65,6.0
"APPLE MacBook Pro 14"" (2021) - M1 Pro, 512 GB SSD, Silver",1763.0,4.4,19.0
"LENOVO IdeaPad Slim 1i 11.6"" Laptop - Intel® Celeron™, 64 GB eMMC, Blue",119.0,4.4,76.0
"HP Pavilion 14-dv0521sa 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",579.0,4.4,166.0
"HP Pavilion 15-eh0525na 15.6"" Laptop - AMD Athlon, 128 GB SSD, Blue",289.0,4.4,47.0
"APPLE MacBook Pro 13.3"" (2020) - M1, 256 GB SSD, Silver",1149.0,4.7,194.0
"ASUS ZenBook Duo UX482EA 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue",1199.0,4.6,87.0
"HP Stream 14s-dq0504sa 14"" Laptop - Intel® Celeron®, 64 GB eMMC, Black",239.0,3.5,24.0
"MICROSOFT 12.5"" Surface Laptop Go - Intel® Core™ i5, 128 GB SSD, Platinum",549.0,4.4,54.0
"ASUS VivoBook X515JA 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",579.0,,
"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver",349.0,4.65,28.0
"LENOVO IdeaPad 3i 17.3"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Blue",309.0,4.5,28.0
"HUAWEI MateBook D 15.6"" Laptop - Intel® Core™ i5, 512 GB SSD, Grey",459.0,4.45,15.0
"ACER Aspire 5 A515-56G 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",699.0,4.4,29.0
"HP Pavilion 14-dv0511sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver",549.0,4.5,356.0
"SAMSUNG Galaxy Book2 Pro 360 15.6"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver",1299.0,,
"DELL Inspiron 15 3000 15.6"" Laptop - Intel® Core™ i3, 256 GB SSD, Black",429.0,4.3,69.0
"HP Pavilion 15-eh0507sa 15.6"" Laptop - AMD Ryzen 3, 256 GB, Silver",499.0,4.5,470.0
"ASUS E510MA 15.6"" Laptop - Intel® Celeron®, 64 GB eMMC, Black",179.0,4.45,35.0
"ACER 314 14"" Chromebook - MediaTek MT8183C, 64 GB eMMC, Silver",179.0,4.2,66.0
"ASUS VivoBook X705MA 17.3"" Laptop - Intel® Pentium™ Silver, 1 TB HDD, Grey",299.0,2.4,18.0
"DELL Inspiron 16 Plus 7610 16"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue",1099.0,4.3,206.0
"ASUS VivoBook F515EA 15.6"" Laptop - Intel® Core™ i3, 256 GB SSD, Grey",379.0,4.15,98.0
"APPLE MacBook Pro 16"" (2021) - M1 Pro, 512 GB SSD, Silver",2234.98,4.65,8.0
"HP Pavilion 15-eh0511sa 15.6"" Laptop - AMD Ryzen 5, 512 GB, Silver",649.0,4.45,476.0
"HP 17-cn0500sa 17.3"" Laptop - Intel® Core™ i3, 512 GB SSD, Black",549.0,,
"HP 14s-dq2507na 14"" Laptop - Intel® Core™ i3, 128 GB SSD, Silver",399.0,4.4,38.0
"HP ENVY x360 Convert 15-eu0500na 15.6"" 2 in 1 Laptop - AMD Ryzen 5, 512 GB SSD, Black",849.0,4.2,2447.0
"HP Pavilion 14-dv0602sa 14"" Laptop - Intel® Core™ i5, 512 GB SSD, White & Rose Gold",579.0,4.6,10.0
"HP 14s-dq2510na 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver",429.0,4.55,28.0
"ASUS ZenBook 14 UX5400EA 14"" Laptop - Intel® Core™ i7, 1 TB SSD, Grey",1229.0,,
"HP Pavilion x360 14-dy0505na 14"" 2 in 1 Laptop - Intel® Core™ i3, 256 GB SSD, Silver",549.0,4.55,29.0
"APPLE MacBook Pro 13.3"" (2020) - M1, 512 GB SSD, Silver",1329.97,4.7,200.0
"HP x360 12b-ca0500na 12"" 2 in 1 Chromebook - Intel® Celeron®, 64 GB eMMC, Silver",279.0,4.45,531.0
"MICROSOFT 12.5"" Surface Laptop Go - Intel® Core™ i5, 64 GB eMMC, Platinum",449.0,4.15,69.0
"LENOVO IdeaPad 3i 11.6"" Chromebook - Intel® Celeron®, 64 GB eMMC, Black",199.0,4.3,292.0
"HP Spectre x360 14-ea0519na 13.5"" 2 in 1 Laptop - Intel® Core™ i5, 512 GB SSD, Black",999.0,4.55,23.0
"LENOVO IdeaPad 5i 14"" Chromebook - Intel® Core™ i3, 256 GB SSD, Grey",349.0,4.25,2.0
"ASUS E510MA 15.6"" Laptop - Intel® Celeron®, 128 GB eMMC, Black",229.0,4.4,39.0
"HP ENVY 17-ch0508na 17.3"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver",1449.0,,
"HP ENVY x360 Convert 15.6"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver",999.0,,
"LENOVO IdeaPad Duet 5 13.3"" 2 in 1 Chromebook - Qualcomm Snapdragon, 256 GB eMMC, Blue",549.0,4.1,13.0
"MICROSOFT 13.5"" Surface Laptop 4 - AMD Ryzen 5, 256 GB SSD, Platinum",999.0,4.6,28.0
"ACER Aspire 3 14"" Laptop - AMD Athlon, 128 GB SSD, Silver",239.0,4.35,31.0
"HUAWEI MateBook D 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Grey",699.0,,
"DELL XPS 13 9310 13.4"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",1299.0,4.25,31.0
