Product Name,Price (£),Customer Rating,Rating Count
CRICUT EasyPress 2 Medium - Raspberry,149.99,4.75,4.0
BROTHER DCPL3550CDW All-in-One Wireless Laser Colour Printer,309.99,4.5,396.0
HP Smart Tank 7605 All-in-One Wireless Inkjet Printer,349.99,,0.0
HP Color LaserJet Pro M255dw Wireless Laser Printer,329.99,4.05,97.0
HP LaserJet M209dwe Monochrome Wireless Laser Printer & Instant Ink with HP+,199.99,3.5,5.0
INSTAX mini Link Photo Printer - Dusky Pink,99.0,4.5,74.0
CRICUT Maker DIY Digital Cutting Machine - Rose,269.99,4.9,21.0
EPSON Expression Home XP-4155 All-in-One Wireless Inkjet Printer & £5 ReadyPrint Flex Prepaid Card Bundle,69.99,,0.0
HP LaserJet MFP M234dwe Monochrome All-in-One Wireless Laser Printer & Instant Ink with HP+,219.99,3.65,13.0
CANON Maxify iB4150 Wireless Inkjet Printer,119.99,4.1,34.0
POLAROID Lab with Film Twin Pack - White,115.0,2.9,4.0
BROTHER MFC-L8690CDW All-in-One Wireless Laser Colour Printer with Fax,449.0,4.5,129.0
CANON PIXMA G650 MegaTank All-in-One Wireless Inkjet Printer,249.99,4.45,32.0
CRICUT Mug Press,179.99,4.6,47.0
EPSON EcoTank ET-5800 All-in-One Wireless Inkjet Printer with Fax,708.0,4.0,3.0
BROTHER DCP-1612W All In Box Monochrome All-in-One Wireless Laser Printer Bundle,229.99,3.85,31.0
BROTHER HLL2310D Monochrome Laser Printer,99.99,4.2,65.0
CANON PIXMA TR150 All-in-One Wireless Inkjet Printer with Battery - Black,259.99,4.65,47.0
INSTAX Wide Link Photo Printer - Ash White,129.99,2.75,2.0
CRICUT Mug Press & Ceramic Mug Blank Bundle,185.98,,0.0
INSTAX mini Link Photo Printer - Denim Blue,99.0,4.5,74.0
EPSON WorkForce Pro WF-4820DWF All-in-One Wireless Inkjet Printer with Fax,124.99,4.45,15.0
CANON Maxify MB5450 All-in-One Wireless Inkjet Printer with Fax,209.99,4.55,20.0
BROTHER MFC-J4535DWXL All-in-One Wireless Inkjet Printer with Fax,279.99,,0.0
INSTAX Wide Link Photo Printer - Mocha Grey,129.99,5.0,3.0
INSTAX mini Link Photo Printer & Pikachu Case Bundle,109.0,,0.0
CRICUT EasyPress 2 - Raspberry,219.99,4.85,3.0
EPSON Expression Photo XP-8700 All-in-One Photo Printer,119.99,,0.0
CRICUT Maker 3 DIY Digital Cutting Machine & Accessory Bundle,999.99,,0.0
BROTHER HLL8260CDW Wireless Laser Colour Printer,262.0,4.3,151.0
EPSON EcoTank ET-M2170 Monochrome All-in-One Wireless Inkjet Printer,210.0,,0.0
XEROX C230V_DNIUK Wireless Laser Printer,303.6,,0.0
BROTHER MFCJ4335DWXL All-in-One Wireless Inkjet Printer with Fax,249.99,4.35,6.0
CRICUT Joy DIY Digital Cutting & Printing Machine & Accessory Bundle,999.99,,0.0
CANON SELPHY Square QX10 Photo Printer - Black,149.0,4.0,1.0
CRICUT Maker 3 DIY Digital Cutting Machine & Smart Vinyl Supplies Bundle,399.99,,0.0
POLAROID Lab Instant Photo Printer - White,119.99,,0.0
EPSON WorkForce WF-2880DWF All-in-One Wireless Inkjet Printer with Fax,89.99,,0.0
CRICUT Explore 3 DIY Digital Cutting & Printing Machine & Smart Vinyl Supplies Bundle,279.99,,0.0
INSTAX mini Link Photo Printer - Special Edition,99.0,4.45,7.0
CRICUT Explore 3 DIY Digital Cutting & Printing Machine & Accessory Bundle,999.99,,0.0
INSTAX mini Link Photo Printer Special Edition with Mini Film & Nintendo Switch New Pokémon Snap Bundle,169.97,,0.0
CANON SELPHY Square QX10 Photo Printer - White,149.0,0.5,2.0
HP DeskJet 3762 All-in-One Wireless Inkjet Printer with Instant Ink,49.99,3.9,2076.0
EPSON Expression Home XP-4155 All-in-One Wireless Inkjet Printer,64.99,4.15,257.0
CANON PIXMA TR-4550 All-in-One Wireless Inkjet Printer with Fax,59.99,3.95,980.0
CANON PIXMA TS6351a All-in-One Wireless Inkjet Printer,129.99,,0.0
CANON PIXMA G2520 MegaTank All-in-One Inkjet Printer,139.99,3.55,31.0
BROTHER MFCJ6930DW All-in-One Wireless A3 Inkjet Printer with Fax,299.99,4.4,383.0
EPSON Expression Premium XP-970 All-in-One Wireless A3 Inkjet Printer,209.99,,0.0
HP OfficeJet Pro 7720 All-in-One Wireless A3 Inkjet Printer with Fax,219.99,4.15,681.0
CANON PIXMA TS5151 All-in-One Wireless Inkjet Printer,59.99,4.1,1053.0
HP DeskJet 2722e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,54.99,4.1,71.0
CANON PIXMA TS3450 All-in-One Wireless Inkjet Printer,44.99,4.15,71.0
CANON PIXMA G3520 MegaTank All-in-One Wireless Inkjet Printer,199.99,4.15,172.0
CANON PIXMA TS7451 All-in-One Wireless Inkjet Printer - White,79.99,4.1,288.0
EPSON Expression Premium XP-7100 All-in-One Wireless A4 Photo Printer,139.99,4.9,4.0
CANON PIXMA TS5350a All-in-One Wireless Inkjet Printer,69.99,,0.0
CANON Maxify MB2150 All-in-One Wireless Inkjet Printer with Fax,119.99,4.0,34.0
CANON SELPHY CP1300 Wireless Photo Printer - White,120.0,4.35,188.0
EPSON EcoTank ET-8550 All-in-One Wireless A3+ Photo Printer,673.0,4.7,7.0
EPSON WorkForce WF-7310DTW Wireless A3 Inkjet Printer,174.99,4.2,12.0
CANON Maxify MB5150 All-in-One Wireless Inkjet Printer with Fax,169.99,4.35,27.0
EPSON Expression Premium XP-6105 All-in-One Wireless Inkjet Printer,89.99,,0.0
EPSON WorkForce WF-7830DTWF All-in-One Wireless A3 Inkjet Printer with Fax,219.99,4.7,18.0
EPSON WorkForce WF-7840DTWF All-in-One Wireless A3+ Inkjet Printer with Fax,259.99,,0.0
EPSON EcoTank ET-15000 All-in-One Wireless A3+ Inkjet Printer with Fax,579.0,4.25,32.0
EPSON EcoTank ET-8500 All-in-One Wireless Photo Printer,589.0,3.75,6.0
DREMEL DigiLab 3D45 3D Printer,1399.0,4.45,11.0
CANON Maxify MB2750 All-in-One Wireless Inkjet Printer with Fax,149.99,4.1,56.0
EPSON EcoTank ET-16600 All-in-One Wireless A3+ Inkjet Printer with Fax,899.99,4.5,2.0
EPSON EcoTank ET-16150 Wireless A3+ Inkjet Printer,639.99,4.0,1.0
CANON PIXMA G7050 All-in-One Wireless Inkjet Printer with Fax,309.99,3.9,15.0
EPSON WorkForce Pro WF-4830DTWF All-in-One Wireless Inkjet Printer with Fax,149.99,3.65,10.0
EPSON EcoTank ET-M3170 Monochrome All-in-One Wireless Inkjet Printer with Fax,259.0,4.0,1.0
XEROX B235 Monochrome All-in-One Wireless Laser Printer with Fax,249.0,,0.0
EPSON EcoTank ET-14000 A3+ Inkjet Printer,539.0,,0.0
CANON PIXMA TR150 All-in-One Wireless Inkjet Printer - Black,229.99,4.65,17.0
DREMEL Idea Builder 3D40-01 3D Printer,999.0,4.4,5.0
CANON SELPHY Square QX10 Photo Printer - Green,149.0,3.8,5.0
