Product Name,Category,Price (£),Customer Rating,Rating Count
,Phones,149.0,,
"SAMSUNG Galaxy A22 5G – 64 GB, Grey",Phones,,3.3,19.0
"SAMSUNG Galaxy A13 - 64 GB, Black",Phones,159.99,4.6,13.0
,Phones,179.0,,
"HONOR X7 - 128 GB, Midnight Black",Phones,144.0,4.9,12.0
"SAMSUNG Galaxy A22 5G – 64 GB, Violet",Phones,,4.4,18.0
"XIAOMI Redmi Note 10 5G - 128 GB, Graphite Gray",Phones,629.0,5.0,2.0
,Phones,429.0,5.0,4.0
"APPLE iPhone 11 - 64 GB, White",Phones,729.0,,
"APPLE iPhone 11 - 64 GB, Purple",Phones,1049.0,,
"APPLE iPhone 13 - 128 GB, Starlight",Phones,,5.0,2.0
"APPLE iPhone 13 Pro Max - 128 GB, Sierra Blue",Phones,,3.6,14.0
,Phones,949.0,,
,Phones,379.0,3.7,9.0
"APPLE iPhone 13 Pro Max - 128 GB, Gold",Phones,,,
"SAMSUNG Galaxy A53 5G - 128 GB, Blue",Phones,149.0,3.3,13.0
,Phones,,4.7,6.0
"SAMSUNG Galaxy A13 - 64 GB, White",Phones,179.0,,
,Phones,829.0,,
"SAMSUNG Galaxy A22 5G – 64 GB, White",Phones,,4.8,10.0
"APPLE iPhone 13 - 256 GB, Midnight",Phones,,4.1,21.0
,Phones,729.0,5.0,1.0
,Phones,599.0,,
"APPLE iPhone 13 - 128 GB, (PRODUCT)RED",Phones,109.99,,
"SAMSUNG Galaxy S21 FE 5G - 128 GB, Olive Green",Phones,,,
"MOTOROLA Moto E30 - 32 GB, Digital Blue",Phones,,,
,Phones,169.99,,
,Phones,,4.6,10.0
"MOTOROLA Moto G31 - 64 GB, Mineral Grey",Phones,,,
,Phones,499.0,,
,Phones,419.0,,
"SAMSUNG Galaxy S20 FE (2021) - 128 GB, Cloud Lavender",Phones,,,
"APPLE iPhone SE (2022) - 64 GB, Starlight",Phones,,,
,Phones,,4.7,9.0
,Phones,159.0,,
"OPPO A16s - 64 GB, Black",Phones,,5.0,4.0
,Phones,829.0,,
"APPLE iPhone 13 - 256 GB, Pink",Phones,,4.6,10.0
,Phones,679.0,4.9,34.0
"APPLE iPhone 12 - 128 GB, White",Phones,629.0,5.0,1.0
,Phones,169.99,3.2,12.0
"APPLE iPhone 12 - 64 GB, Blue",Phones,419.0,,
"MOTOROLA Moto G31 - 64 GB, Baby Blue",Phones,379.0,,
"APPLE iPhone SE (2022) - 64 GB, (PRODUCT)RED",Phones,,4.0,1.0
"SAMSUNG Galaxy A53 5G - 128 GB, Peach",Phones,,,
,Phones,469.0,3.5,4.0
"APPLE iPhone SE (2022) - 128 GB, Midnight",Phones,289.0,1.3,3.0
"XIAOMI Redmi Note 11 Pro 5G - 128 GB, Graphite Gray",Phones,174.0,,
"XIAOMI Redmi Note 11 - 128 GB, Twilight Blue",Phones,,,
,Phones,1029.0,,
"APPLE iPhone 13 - 512 GB, Midnight",Phones,,,
,Phones,329.0,4.4,14.0
,Phones,,5.0,1.0
"SAMSUNG Galaxy A33 5G - 128 GB, Awesome Black",Phones,529.0,,
,Phones,829.0,,
"APPLE iPhone 12 Mini - 64 GB, Black",Phones,,,
"APPLE iPhone 13 - 256 GB, Starlight",Phones,,,
,Phones,149.99,4.6,33.0
"MOTOROLA Moto G22 - 64 GB, Cosmic Black",Phones,299.0,4.2,5.0
"OPPO Find X3 Lite - 128 GB, Astral Blue",Phones,529.0,3.5,10.0
"APPLE iPhone 12 - 64 GB, Green",Phones,379.0,,
"SAMSUNG Galaxy A53 5G - 128 GB, White",Phones,,,
,Phones,,4.5,15.0
,Phones,,5.0,5.0
,Phones,579.0,,
,Phones,1329.0,,
"APPLE iPhone 12 Mini - 128 GB, Blue",Phones,,,
"SAMSUNG Galaxy S22 Ultra 5G - 512 GB, Green",Phones,,,
,Phones,,5.0,7.0
,Phones,149.99,5.0,1.0
,Phones,1149.0,,
"MOTOROLA Moto G22 - 64 GB, Iceberg Blue",Phones,469.0,,
"APPLE iPhone 13 Pro - 256 GB, Sierra Blue",Phones,,5.0,1.0
"APPLE iPhone SE (2022) - 128 GB, (PRODUCT)RED",Phones,,,
,Phones,469.0,,
"APPLE iPhone SE (2022) - 128 GB, Starlight",Phones,,,
,Phones,,5.0,2.0
,Phones,329.0,,
"SAMSUNG Galaxy A33 5G - 128 GB, Awesome White",Phones,,,
,Phones,,2.4,16.0
,Phones,159.99,,
,Phones,899.0,,
"HONOR X7 - 128 GB, Ocean Blue",Phones,329.0,,
"SAMSUNG Galaxy Z Flip3 5G - 256 GB, Lavender",Phones,329.0,,
"SAMSUNG Galaxy A33 5G - 128 GB, Awesome Orange",Phones,,5.0,5.0
"SAMSUNG Galaxy A33 5G - 128 GB, Awesome Blue",Phones,,,
,Phones,629.0,,
,Phones,,4.2,5.0
"APPLE iPhone 12 - 64 GB, (PRODUCT)RED",Phones,,4.7,15.0
,Phones,529.0,,
,Phones,1049.0,5.0,2.0
"APPLE iPhone 12 Mini - 64 GB, Green",Phones,,4.1,21.0
"OPPO Find X5 Pro - 256 GB, Ceramic White",Phones,379.99,,
,Phones,599.0,,
"HONOR 50 - 256 GB, Midnight Black",Phones,,,
"SAMSUNG Galaxy S21 FE 5G - 128 GB, White",Phones,,5.0,2.0
,Phones,,4.9,10.0
,Phones,779.0,,
,Phones,529.0,2.4,16.0
"APPLE iPhone 12 - 256 GB, White",Phones,,,
"APPLE iPhone 12 Mini - 64 GB, White",Phones,712.0,,
,Phones,679.0,,
"SAMSUNG Galaxy Z Flip3 5G - 128 GB, Cream",Phones,,2.4,16.0
"XIAOMI 12 - 256 GB, Blue",Phones,,,
,Phones,849.0,,
,Phones,199.99,1.0,1.0
"SAMSUNG Galaxy Z Flip3 5G - 128 GB, Green",Phones,,2.6,18.0
"HONOR X8 - 128 GB, Titanium Silver",Phones,499.0,,
,Phones,712.0,,
"XIAOMI 11T 5G - 128 GB, Meteorite Grey",Phones,329.99,5.0,1.0
"SAMSUNG Galaxy Z Flip3 5G - 128 GB, Lavender",Phones,199.99,,
"HONOR 50 - 128 GB, Midnight Black",Phones,1349.0,,
"HONOR X8 - 128 GB, Midnight Black",Phones,159.99,,
"APPLE iPhone 13 - 512 GB, Blue",Phones,,,
"HONOR X7 - 128 GB, Titanium Silver",Phones,,,
,Phones,1049.0,,
"XIAOMI 12 PRO - 256 GB, Grey",Phones,,,
,Phones,,1.0,2.0
,Phones,,5.0,1.0
,Phones,1029.0,,
,Phones,569.0,,
"APPLE iPhone 13 - 512 GB, Pink",Phones,1029.0,4.5,4.0
"APPLE iPhone SE (2022) - 256 GB, Midnight",Phones,,,
"APPLE iPhone 13 - 512 GB, Green",Phones,379.99,,
,Phones,,4.7,18.0
"HONOR 50 - 256 GB, Frost Crystal",Phones,,,
,Phones,599.0,,
,Phones,,5.0,4.0
"OPPO Find X3 Neo - 256 GB, Starlight Black",Phones,,,
,Phones,579.0,,
"APPLE iPhone 12 Mini - 128 GB, (PRODUCT)RED",Phones,199.99,,
"HONOR X8 - 128 GB, Ocean Blue",Phones,,2.3,16.0
,Phones,,4.6,7.0
,Phones,899.0,,
,Phones,1049.0,,
"SAMSUNG Galaxy Z Flip3 5G - 256 GB, Green",Phones,,,
"APPLE iPhone 13 Pro - 256 GB, Graphite",Phones,,,
,Phones,,4.8,5.0
,Phones,,3.0,3.0
,Phones,329.99,,
,Phones,679.0,,
"HONOR 50 - 128 GB, Emerald Green",Phones,569.0,,
"APPLE iPhone 12 Mini - 256 GB, Black",Phones,,2.9,25.0
"APPLE iPhone SE (2022) - 256 GB, (PRODUCT)RED",Phones,,,
,Phones,649.0,,
"SAMSUNG Galaxy Z Flip3 5G - 256 GB, Cream",Phones,,,
,Phones,,3.2,6.0
,Phones,54.99,,
"ALCATEL 1 - 8 GB, Black",Phones,,,
,Phones,,5.0,1.0
,Phones,419.0,,
"APPLE iPhone SE - 64 GB, Red",Phones,,,
,Phones,,5.0,1.0
,Phones,1349.0,,
"APPLE iPhone 13 Pro - 512 GB, Sierra Blue",Phones,,,
,Phones,,5.0,2.0
,Phones,,4.6,7.0
,Phones,949.0,4.9,31.0
,Phones,1049.0,,
"APPLE iPhone 13 Pro - 128 GB, Gold",Phones,679.0,,
"APPLE iPhone 13 Pro Max - 256 GB, Graphite",Phones,,,
"APPLE iPhone 12 - 128 GB, Black",Phones,,,
,Phones,,4.4,17.0
,Phones,479.0,,
"APPLE iPhone 11 - 128 GB, Black",Phones,,5.0,7.0
,Phones,,5.0,1.0
,Phones,1149.0,3.0,3.0
,Phones,1349.0,3.7,6.0
"APPLE iPhone 13 Pro Max - 256 GB, Sierra Blue",Phones,679.0,,
"APPLE iPhone 13 Pro Max - 512 GB, Sierra Blue",Phones,1249.0,,
"APPLE iPhone 12 - 256 GB, Black",Phones,,,
"SAMSUNG Galaxy S22 Ultra 5G - 256 GB, Green",Phones,,4.1,21.0
,Phones,599.0,,
"SAMSUNG Galaxy S21 FE 5G - 128 GB, Lavender",Phones,,3.7,7.0
,Phones,1049.0,,
,Phones,1149.0,,
"APPLE iPhone 13 Pro - 256 GB, Alpine Green",Phones,,,
"SAMSUNG Galaxy S22 Ultra 5G - 128 GB, Green",Phones,,,
"APPLE iPhone 11 - 128 GB, White",Phones,479.0,4.8,6.0
"APPLE iPhone 11 - 128 GB, Purple",Phones,479.0,4.8,12.0
"APPLE iPhone 13 Pro Max - 256 GB, Silver",Phones,1149.0,5.0,5.0
"APPLE iPhone 13 Pro Max - 512 GB, Silver",Phones,1349.0,5.0,1.0
"APPLE iPhone 13 Pro - 512 GB, Silver",Phones,1349.0,5.0,1.0
"XIAOMI 12 Pro - 256 GB, Blue",Phones,1049.0,,
"XIAOMI 12 - 256 GB, Purple",Phones,679.0,,
"APPLE iPhone SE - 256 GB, Red",Phones,569.0,,
"XIAOMI Redmi Note 10 Pro - 128 GB, Onyx Gray",Phones,219.99,4.6,21.0
"APPLE iPhone 11 - 256 GB, Yellow",Phones,1449.0,,
"APPLE iPhone SE - 128 GB, Red",Phones,469.0,5.0,1.0
"APPLE iPhone 11 - 256 GB, Purple",Phones,1449.0,5.0,1.0
