"HP ENVY 17-ch0500sa 17.3"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver"
"HP x360 14c-cc0505sa 14"" 2 in 1 Chromebook - Intel® Core™ i5, 256 GB SSD, Silver"
"APPLE MacBook Pro 14"" (2021) - M1 Pro, 512 GB SSD, Silver"
"LENOVO IdeaPad Slim 1i 11.6"" Laptop - Intel® Celeron™, 64 GB eMMC, Blue"
"HP Pavilion 14-dv0521sa 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver"
"HP Pavilion 15-eh0525na 15.6"" Laptop - AMD Athlon, 128 GB SSD, Blue"
"APPLE MacBook Pro 13.3"" (2020) - M1, 256 GB SSD, Silver"
"ASUS ZenBook Duo UX482EA 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue"
"HP Stream 14s-dq0504sa 14"" Laptop - Intel® Celeron®, 64 GB eMMC, Black"
"MICROSOFT 12.5"" Surface Laptop Go - Intel® Core™ i5, 128 GB SSD, Platinum"
"ASUS VivoBook X515JA 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver"
"LENOVO IdeaPad 3i 17.3"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Blue"
"HUAWEI MateBook D 15.6"" Laptop - Intel® Core™ i5, 512 GB SSD, Grey"
"ACER Aspire 5 A515-56G 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"HP Pavilion 14-dv0511sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver"
"SAMSUNG Galaxy Book2 Pro 360 15.6"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"DELL Inspiron 15 3000 15.6"" Laptop - Intel® Core™ i3, 256 GB SSD, Black"
"HP Pavilion 15-eh0507sa 15.6"" Laptop - AMD Ryzen 3, 256 GB, Silver"
"ASUS E510MA 15.6"" Laptop - Intel® Celeron®, 64 GB eMMC, Black"
"ACER 314 14"" Chromebook - MediaTek MT8183C, 64 GB eMMC, Silver"
"ASUS VivoBook X705MA 17.3"" Laptop - Intel® Pentium™ Silver, 1 TB HDD, Grey"
"DELL Inspiron 16 Plus 7610 16"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue"
"ASUS VivoBook F515EA 15.6"" Laptop - Intel® Core™ i3, 256 GB SSD, Grey"
"APPLE MacBook Pro 16"" (2021) - M1 Pro, 512 GB SSD, Silver"
